,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty,¤ÀÃþ
392,0.06976744186046512,0.09302325581395349,0.0,0.023255813953488372,0.0,0.023255813953488372,0.27906976744186046,0.046511627906976744,0.023255813953488372,0.0,0.0,0.11627906976744186,0.046511627906976744,0.023255813953488372,0.0,0.0,0.2558139534883721
393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
394,0.13043478260869565,0.043478260869565216,0.43478260869565216,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.0,0.0,0.0,0.08695652173913043,0.0
395,0.08196721311475409,0.0,0.11475409836065574,0.040983606557377046,0.0,0.2540983606557377,0.00819672131147541,0.20491803278688525,0.02459016393442623,0.08196721311475409,0.00819672131147541,0.09836065573770492,0.02459016393442623,0.01639344262295082,0.0,0.0,0.040983606557377046
396,0.1875,0.0625,0.0,0.09375,0.0,0.0,0.03125,0.09375,0.0,0.0,0.0,0.3125,0.03125,0.0,0.0,0.0,0.1875
397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
398,0.10810810810810811,0.05405405405405406,0.05405405405405406,0.02702702702702703,0.0,0.05405405405405406,0.1891891891891892,0.13513513513513514,0.02702702702702703,0.02702702702702703,0.0,0.05405405405405406,0.02702702702702703,0.0,0.0,0.0,0.24324324324324326
399,0.14285714285714285,0.06493506493506493,0.05194805194805195,0.025974025974025976,0.0,0.03896103896103896,0.11688311688311688,0.11688311688311688,0.012987012987012988,0.05194805194805195,0.0,0.05194805194805195,0.07792207792207792,0.0,0.0,0.0,0.24675324675324675
400,0.05263157894736842,0.0,0.0,0.0,0.0,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105263157895
401,0.03125,0.0,0.03125,0.0,0.0,0.0,0.09375,0.09375,0.0,0.03125,0.0,0.09375,0.03125,0.0,0.03125,0.0,0.5625
