,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
0,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.0,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0
1,0.17372881355932204,0.00847457627118644,0.08898305084745763,0.012711864406779662,0.00423728813559322,0.038135593220338986,0.211864406779661,0.029661016949152543,0.04025423728813559,0.012711864406779662,0.04449152542372881,0.2309322033898305,0.0614406779661017,0.023305084745762712,0.01694915254237288,0.00211864406779661
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.04283054003724395,0.035381750465549346,0.5810055865921788,0.020484171322160148,0.020484171322160148,0.00558659217877095,0.0223463687150838,0.03910614525139665,0.0037243947858473,0.0111731843575419,0.00186219739292365,0.0931098696461825,0.054003724394785846,0.0074487895716946,0.020484171322160148,0.040968342644320296
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.10833333333333334,0.016666666666666666,0.15,0.09166666666666666,0.0,0.016666666666666666,0.18333333333333332,0.15833333333333333,0.0,0.016666666666666666,0.0,0.10833333333333334,0.05,0.03333333333333333,0.06666666666666667,0.0
8,0.0421455938697318,0.03065134099616858,0.6513409961685823,0.019157088122605363,0.007662835249042145,0.007662835249042145,0.05363984674329502,0.022988505747126436,0.007662835249042145,0.011494252873563218,0.0,0.06130268199233716,0.01532567049808429,0.0038314176245210726,0.038314176245210725,0.02681992337164751
9,0.09375,0.046875,0.36328125,0.0078125,0.00390625,0.015625,0.0859375,0.02734375,0.0,0.015625,0.01953125,0.171875,0.015625,0.015625,0.0546875,0.0625
10,0.06722689075630252,0.0546218487394958,0.10504201680672269,0.012605042016806723,0.0,0.012605042016806723,0.2689075630252101,0.046218487394957986,0.0,0.03361344537815126,0.025210084033613446,0.25210084033613445,0.08403361344537816,0.01680672268907563,0.01680672268907563,0.004201680672268907
11,0.08823529411764706,0.13970588235294118,0.08823529411764706,0.014705882352941176,0.0,0.058823529411764705,0.1323529411764706,0.0661764705882353,0.0,0.058823529411764705,0.007352941176470588,0.27941176470588236,0.04411764705882353,0.0,0.022058823529411766,0.0
12,0.04,0.01,0.64,0.01,0.0,0.02,0.01,0.04,0.01,0.01,0.0,0.03,0.1,0.04,0.0,0.04
13,0.0975609756097561,0.036585365853658534,0.036585365853658534,0.04878048780487805,0.012195121951219513,0.0,0.2682926829268293,0.15853658536585366,0.024390243902439025,0.036585365853658534,0.0,0.18292682926829268,0.06097560975609756,0.012195121951219513,0.024390243902439025,0.0
14,0.058823529411764705,0.0,0.4117647058823529,0.0,0.17647058823529413,0.0,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
15,0.17699115044247787,0.07964601769911504,0.3893805309734513,0.008849557522123894,0.008849557522123894,0.05309734513274336,0.07079646017699115,0.02654867256637168,0.008849557522123894,0.02654867256637168,0.0,0.04424778761061947,0.05309734513274336,0.008849557522123894,0.02654867256637168,0.017699115044247787
16,0.14545454545454545,0.01818181818181818,0.06363636363636363,0.1,0.09090909090909091,0.0,0.11818181818181818,0.06363636363636363,0.02727272727272727,0.06363636363636363,0.01818181818181818,0.2,0.06363636363636363,0.00909090909090909,0.01818181818181818,0.0
17,0.08196721311475409,0.03278688524590164,0.0,0.08196721311475409,0.06557377049180328,0.03278688524590164,0.19672131147540983,0.13114754098360656,0.0,0.0,0.0,0.32786885245901637,0.0,0.0,0.04918032786885246,0.0
