,0,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
87,5,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
88,13,4,4,6,0,3,1,7,3,0,2,0,4,0,0,2,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,10,0,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2,6,3,95,1,0,0,5,3,0,2,0,9,9,0,0,6
94,11,1,2,1,4,0,1,5,3,0,2,0,1,0,2,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,11,1,0,1,0,0,1,2,1,1,0,0,0,1,0,1,0
98,2,13,8,232,7,0,1,7,12,2,11,0,17,12,4,4,24
99,6,7,3,14,2,0,0,2,2,0,1,1,2,0,1,7,0
100,13,1,0,4,4,0,0,2,1,1,0,1,0,1,2,0,1
101,10,0,0,5,0,3,0,7,5,0,1,0,2,0,0,1,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,10,0,0,2,0,1,0,3,2,0,5,0,0,0,0,1,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,19,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,15,11,2,5,1,0,3,1,20,0,2,1,8,6,0,2,2
108,5,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0
109,4,2,1,1,1,0,0,6,5,0,1,0,1,1,0,1,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,4,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0
113,13,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
114,11,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
115,1,0,0,0,1,1,0,2,2,0,0,0,2,1,0,0,0
116,6,2,3,11,0,0,0,3,7,0,1,1,0,0,3,0,3
117,6,0,0,4,0,0,0,0,1,2,2,0,1,0,0,0,0
118,12,0,0,13,1,0,0,0,5,0,0,0,0,1,2,0,2
119,9,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0
120,13,7,2,8,4,13,0,8,1,0,1,0,4,1,0,1,0
121,11,1,4,0,2,0,1,4,2,0,2,0,1,0,0,0,0
122,3,0,1,3,1,0,0,1,2,0,0,0,2,0,0,0,1
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,6,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
125,9,3,1,0,1,0,2,1,1,2,0,1,1,0,0,0,0
126,8,19,4,11,1,1,2,15,12,0,2,0,19,3,1,2,0
127,8,19,4,7,3,0,1,17,14,0,6,2,12,5,1,6,22
128,8,12,3,9,6,4,1,22,10,4,10,1,24,3,2,2,0
129,17,6,1,3,0,1,0,7,4,1,2,0,11,1,0,2,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1,12,3,6,37,1,0,34,14,0,3,0,25,9,1,5,0
132,3,2,0,2,0,0,1,0,2,0,0,0,1,0,0,0,0
133,19,24,3,25,7,11,0,13,8,1,2,2,60,11,2,3,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,18,2,0,1,1,0,0,4,0,0,0,0,0,0,1,1,0
136,8,6,4,6,2,4,1,8,3,0,2,0,11,6,0,0,0
137,13,2,3,3,2,4,0,3,1,0,1,0,4,0,0,2,0
138,1,5,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,3,6,4,15,1,3,0,10,12,0,1,0,23,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,12,5,1,48,1,0,1,6,11,1,1,0,7,3,2,4,4
144,17,33,19,17,4,0,2,37,24,2,12,4,84,13,2,4,1
145,8,2,1,1,0,0,0,3,3,0,1,0,2,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,8,4,2,4,4,1,2,11,6,0,4,0,8,1,0,2,0
148,4,3,0,0,3,0,0,6,0,1,0,0,1,1,1,0,0
149,17,4,3,0,0,0,0,3,2,0,1,1,4,0,0,0,0
150,4,1,1,1,0,0,0,4,2,0,0,1,2,0,0,0,0
151,9,2,0,0,0,1,0,1,2,0,1,0,1,0,0,0,1
152,11,2,2,1,0,0,0,4,1,0,2,0,1,1,1,0,0
153,2,2,0,31,1,0,0,2,8,0,1,0,0,3,1,0,0
154,8,5,2,6,14,0,0,16,6,1,2,1,13,6,0,1,0
155,13,24,3,24,47,10,0,15,4,1,2,0,18,10,2,2,1
156,11,5,2,2,20,0,0,11,8,0,1,0,4,2,0,1,0
157,10,0,0,2,1,2,0,4,2,0,3,0,1,0,0,0,0
158,3,4,3,9,1,0,0,4,2,0,1,2,5,0,0,1,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,11,2,1,0,4,0,1,1,1,0,0,0,0,0,0,0,0
162,12,15,3,115,0,0,0,11,21,0,3,2,14,11,4,11,26
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,11,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
166,9,3,0,1,5,2,1,4,2,1,1,1,7,0,0,5,0
167,1,2,4,0,0,0,1,3,1,1,0,1,2,1,0,0,0
168,3,1,0,3,0,0,0,1,1,0,0,0,2,0,0,0,3
169,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,13,0,2,4,3,0,0,4,1,0,2,0,3,0,0,0,0
172,12,21,2,124,10,11,0,11,13,4,7,0,15,13,1,10,14
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,4,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0
175,3,2,1,5,1,0,0,2,0,0,1,1,4,0,1,0,0
176,6,4,1,21,1,0,0,4,4,0,1,0,6,2,1,3,2
177,1,2,0,0,2,2,0,3,0,0,0,0,2,0,0,0,0
178,9,2,0,0,4,0,0,1,0,0,0,0,2,3,0,0,0
179,9,2,0,0,0,0,2,1,1,0,0,0,1,0,2,0,0
180,7,2,0,0,2,0,0,10,3,2,0,0,0,0,0,0,2
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,10,0,1,2,1,0,1,2,0,0,2,0,0,1,0,0,0
184,19,2,0,1,0,0,0,1,0,0,0,0,4,1,0,0,0
185,12,3,1,10,2,1,1,0,0,0,0,0,3,0,0,0,1
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,4,0,3,0,1,0,0,6,3,0,1,1,2,3,0,0,0
188,4,0,1,0,1,0,0,3,1,0,0,1,1,1,0,0,0
189,13,2,0,2,1,0,0,1,0,1,1,0,0,0,0,0,1
