,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192
Unnamed: 0,smooth,vanilla,smoke,spice,peat,caramel,spicy,oak,honey,smoky,sweetness,peaty,fruit,Sweet,rye,smokey,citrus,burn,chocolate,fruity,balanced,balance,sherry,cinnamon,apple,orange,pepper,wood,old,Smokey,floral,toffee,alcohol,warm,harsh,fruits,Strong,spices,dry,Smoky,creamy,Spicy,grain,solid,mellow,maple,Vanilla,zest,butterscotch,oaky,heat,lemon,smokiness,peated,cherry,Caramel,cigar,corn,Honey,soft,Solid,oily,apples,heavy,coffee,Sherry,salty,pear,Warm,smoothness,peppery,fire,salt,syrup,barley,tobacco,aged,green,Smoke,Peat,hit,cream,Carmel,campfire,banana,buttery,sharp,rough,Old,Fruity,butter,nutty,Peaty,apricot,ginger,spirit,crisp,clove,age,rounded,Oak,Decent,medicinal,smoked,charred,iodine,roasted,cherries,nuts,cereal,mint,Spice,tropical,Apple,tea,grass,brine,cabinet,nutmeg,Orange,cocoa,herbs,mango,molasses,char,peach,coconut,pears,Floral,seaweed,Citrus,grassy,silky,Fruit,almonds,Cinnamon,sherried,Creamy,candy,cloves,oranges,syrupy,citrusy,toast,zesty,pine,peatiness,salted,biscuit,biscuits,Buttery,berry,candied,granola,marmalade,apricots,walnuts,walnut,cedar,saltiness,shortbread,raisin,Sweeter,mahogany,Lemon,juice,forest,silk,nuttiness,Salty,rose,Peppery,Butterscotch,Maple,Toasted,Toffee,Woody,espresso,melon,sultanas,cigars,plum,baked,Coffey,pineapple,Cherry,Apples,liquorice,Wood,flowers,smoking,Ginger,plums
Caol Ila 25 Year Old,,1.0,,,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brora 32 Year Old 2011 Release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortlach 16 Year Old Flora and Fauna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laphroaig 10 Year Old Cask Strength,6.0,3.0,22.0,,16.0,3.0,2.0,1.0,1.0,18.0,2.0,17.0,1.0,,,10.0,,2.0,,1.0,,,,,,,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,,3.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,1.0,2.0,,,3.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Longmorn 16 Year Old,1.0,2.0,1.0,,,,3.0,2.0,1.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ardbeg 1977 Limited Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenfiddich 21 Year Old Wedgewood Decanter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BenRiach Heart of Speyside,,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laphroaig 10 Year Old,13.0,8.0,36.0,3.0,58.0,,2.0,2.0,2.0,32.0,7.0,42.0,2.0,,1.0,30.0,1.0,2.0,,1.0,1.0,2.0,,1.0,,,3.0,3.0,7.0,,,,1.0,2.0,,,,2.0,1.0,,1.0,,,3.0,,,,,1.0,,,2.0,4.0,5.0,,,2.0,,,1.0,,2.0,,4.0,,,6.0,1.0,,2.0,1.0,2.0,6.0,,,1.0,,1.0,,,,,,11.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,3.0,1.0,1.0,6.0,1.0,,,,,,,,3.0,,2.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,
Highland Park 18 Year Old,1.0,3.0,5.0,,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,,,,,,1.0,,,5.0,2.0,,,,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Peat Big Peat,,,3.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springbank 12 Year Old Cask Strength,1.0,,4.0,1.0,1.0,,3.0,,,,,,1.0,,,,2.0,,,,,1.0,3.0,,,,,1.0,,,,,,,,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laphroaig 30 Year Old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Macallan 25 Year Old Sherry Oak,,,2.0,,,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rare Malts Blair Athol 27 Year Old 1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep Dip Sheep Dip,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brora 30 Year Old 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compass Box Spice Tree,6.0,2.0,2.0,8.0,,1.0,10.0,,7.0,1.0,1.0,1.0,,,1.0,,,2.0,,,,2.0,,,1.0,,,,,,1.0,1.0,1.0,4.0,,,,1.0,,,,,1.0,,1.0,,,,1.0,2.0,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland Park 25 Year Old,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compass Box Oak Cross,1.0,1.0,,2.0,,,,4.0,,,1.0,1.0,2.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compass Box Flaming Heart 10th Anniversary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Macallan 21 Year Old Fine Oak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenfiddich Age of Discovery 19 Year Old Madeira Cask Finish,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland Park 40 Year Old,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edradour 10 Year Old 2002 Burgundy Cask Finish,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenfarclas Vintage 1996 Oloroso Sherry Cask,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talisker 57¢X North,,3.0,4.0,,3.0,1.0,,1.0,,2.0,,2.0,,,,,3.0,,,,,,,,,,5.0,1.0,,,1.0,1.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caol Ila 18 Year Old,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Jura Jura Prophecy Whisky,,,4.0,,4.0,,1.0,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BenRiach 15 Year Old Pedro Ximenez Sherry Finish,1.0,,,,,,,1.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
The GlenDronach The Glendronach 15 Year Old Revival,4.0,2.0,3.0,,1.0,3.0,,2.0,,1.0,,1.0,,,,2.0,,,3.0,4.0,1.0,,10.0,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenfiddich 14 Year Old Rich Oak,1.0,4.0,,,,,,2.0,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Laphroaig 25 Year Old,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dalmore Mackenzie 1992 (The Death of the Stag Edition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu Dhub Black Whisky,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomintoul 16 Year Old,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenmorangie Nectar D'Or,14.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,7.0,,7.0,,1.0,,,3.0,1.0,2.0,,3.0,,2.0,1.0,1.0,,2.0,2.0,,,,,1.0,,1.0,,4.0,,,,,,,,2.0,2.0,,,3.0,1.0,2.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Pulteney 12 Year Old,9.0,4.0,,3.0,2.0,1.0,6.0,1.0,13.0,3.0,3.0,1.0,5.0,,,,3.0,,1.0,2.0,3.0,3.0,,,,,3.0,,4.0,,2.0,1.0,,,2.0,1.0,,1.0,1.0,,2.0,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,8.0,2.0,,,1.0,1.0,9.0,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auchentoshan 12 Year Old Whisky,21.0,3.0,1.0,2.0,1.0,6.0,2.0,3.0,3.0,,,1.0,1.0,,1.0,5.0,6.0,,,6.0,,2.0,4.0,1.0,2.0,3.0,1.0,6.0,,,1.0,,,1.0,1.0,,,2.0,2.0,,,,,,2.0,,,,1.0,4.0,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,
Glenfiddich 15 Year Old Whisky,9.0,1.0,,2.0,,1.0,1.0,2.0,3.0,,2.0,,3.0,,,1.0,1.0,,,2.0,2.0,,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balblair 1989 Whisky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenmorangie Quinta Ruban Whisky,18.0,3.0,1.0,3.0,2.0,7.0,2.0,1.0,1.0,,2.0,2.0,5.0,,,1.0,3.0,,27.0,1.0,4.0,1.0,1.0,,,15.0,2.0,,2.0,,,1.0,,5.0,3.0,,,1.0,,,3.0,,,,1.0,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,2.0,,,,,,,,3.0,1.0,,6.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Double Barrel Caol Ila & Braeval,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Aberlour 12 Year Old,55.0,3.0,11.0,4.0,3.0,12.0,2.0,3.0,8.0,3.0,1.0,1.0,8.0,,,7.0,1.0,3.0,4.0,1.0,3.0,,10.0,,1.0,,,1.0,,,2.0,2.0,1.0,5.0,1.0,1.0,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,2.0,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,2.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
The Dalmore Tay Dram - The Rivers Collection 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arran The Arran Amarone Cask Finish,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Glenfarclas 12 Scotch Whisky,11.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,,,1.0,,,1.0,,,,3.0,,1.0,,,1.0,1.0,,,,3.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberlour 18 Year Old,3.0,3.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Wemyss Malts The Hive 12 Year Old,,1.0,,1.0,,,,,4.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Macallan 1971 Gordon and MacPhail Speymalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
