,name,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
227,S?ntis Cask Strength Peated,7,8,69,2,1,0,3,3,1,3,1,5,7,0,3,0
228,Teeling Small Batch Irish Whiskey,6,6,1,4,0,1,19,8,6,6,2,41,5,3,2,0
229,Jameson Black Barrel,15,7,19,5,0,0,3,12,1,1,0,53,5,1,2,0
230,Connemara 12 Year Old Peated Whiskey,19,7,132,9,0,0,7,0,0,3,0,27,7,0,3,0
231,Kavalan Classic Single Malt Whisky,3,4,0,0,0,0,9,2,0,3,4,12,3,1,1,0
232,Redbreast 15 Year Old,16,3,0,4,0,1,9,10,1,5,0,19,3,2,0,0
233,"Journeyman Corsets, Whips & Whiskey (59.2%)",16,0,0,5,0,3,0,19,1,2,0,4,3,1,1,0
234,The Irishman 12 Year Old Single Malt Irish Whiskey,6,12,4,1,4,3,16,14,1,3,0,38,8,2,5,0
235,Le Pertuis Pure Malt Whisky,0,0,0,5,0,0,10,2,0,1,0,2,3,0,0,0
236,Mitchell & Son Green Spot Ch?teau L?oville Barton,5,0,0,5,1,1,8,7,1,0,0,7,1,3,0,0
237,Yamazakura Blended Whisky,1,2,0,1,0,1,1,2,0,0,2,1,1,1,0,1
238,Mackmyra 10 Year Old,1,1,0,0,0,0,3,0,0,0,1,2,0,1,0,0
239,Michter's US* Single Barrel Straight Rye Whiskey,17,1,3,0,0,76,8,40,0,8,0,37,17,0,0,0
240,Mitchell & Son Green Spot Single Pot Still,8,5,2,3,3,4,54,14,18,8,0,46,6,1,1,0
241,Redbreast Lustau Edition,22,1,3,6,13,2,11,24,0,4,0,29,4,1,2,0
242,Eagle Rare 10 Year Old,65,31,8,11,0,6,38,53,1,12,2,85,23,6,4,0
243,Suntory The Chita Whisky,12,1,1,3,1,8,34,2,0,4,0,16,6,4,1,0
244,Pike Creek 10 Year Old Rum Barrel Finished Canadian Whisky,4,2,0,1,0,5,7,8,0,3,0,13,3,0,0,0
245,Togouchi 9 Year Old,10,0,14,0,0,0,20,6,0,0,0,22,1,2,0,0
246,Mitchell & Son Yellow Spot 12 Year Old,14,13,0,11,2,1,17,13,12,5,0,42,5,0,0,0
247,Tuthilltown Spirits Hudson Baby Bourbon Whiskey,11,6,7,0,0,20,2,8,0,4,1,18,8,1,2,0
248,Teeling Single Grain Irish Whiskey,12,6,0,1,0,7,6,9,0,1,1,33,6,4,2,0
249,Omar Sherry Cask Single Malt Whisky,0,0,0,0,1,1,1,3,0,1,0,1,1,0,1,0
250,Zuidam Millstone 100 Rye Whisky,8,2,1,8,0,15,6,33,3,2,0,11,2,0,0,0
251,Writers Tears Copper Pot,51,6,11,8,0,5,66,34,3,0,12,128,11,8,4,2
252,Yushan Signature Bourbon Cask,1,2,0,1,0,0,3,1,0,0,0,1,0,0,0,0
253,Brenne BRENNE French Single Malt Whisky - Estate Cask,2,3,1,3,0,1,7,2,0,0,3,5,0,1,1,0
254,I.W. Harper I.W.Harper Straight Bourbon,3,5,1,1,0,1,4,1,0,3,0,8,1,1,0,0
255,Nikka Coffey Grain Whisky,61,40,7,26,0,16,33,35,0,6,2,80,16,4,5,1
256,Powers 12 Year Old John's Lane Release,12,13,3,16,0,4,19,17,0,1,1,31,3,3,8,0
257,Few Bourbon Whiskey,50,8,23,9,0,38,14,78,1,8,0,96,41,16,4,2
258,The Irishman Single Malt Irish Whiskey (1L),1,1,0,2,0,1,4,0,0,0,0,0,1,0,0,0
259,Buffalo Trace 80 Proof Bourbon,16,4,0,1,0,2,11,19,1,12,0,13,15,0,4,0
260,James E. Pepper 1776 7 Year Old Bourbon Whiskey,10,7,1,3,1,1,0,22,0,2,0,4,3,0,2,0
261,Roe & Co Blended Irish Whiskey,12,19,4,0,0,0,10,24,0,1,0,44,6,0,1,0
262,Jameson Caskmates Stout Edition,8,2,5,23,0,2,13,7,0,3,1,66,10,2,2,0
263,Cotswolds Single Malt Whisky,29,1,10,5,0,0,59,28,2,3,1,31,3,0,1,0
