,0,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
44,18,14,6,16,5,26,1,12,6,0,5,1,31,9,1,3,0
45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,13,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0
47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,13,2,0,0,0,0,1,8,0,0,1,0,1,1,1,0,0
49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,18,10,3,1,2,2,0,17,10,0,3,2,27,1,4,1,1
53,18,1,2,2,1,2,1,4,4,1,7,0,6,2,3,3,0
54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2,5,4,6,1,0,1,8,3,1,0,0,4,2,0,1,0
56,6,12,3,40,12,1,1,9,4,2,7,2,77,3,2,6,0
57,17,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
58,0,0,0,15,2,3,0,2,2,0,1,0,5,2,1,5,2
59,18,16,11,13,2,11,0,21,25,0,4,0,51,9,3,5,0
60,16,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,13,2,1,0,0,0,1,8,1,0,0,0,1,0,0,0,0
63,13,1,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0
64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,10,6,144,9,0,0,10,33,1,8,5,19,7,1,7,12
66,18,93,31,90,12,0,1,73,27,5,10,15,123,27,12,6,0
67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,15,2,67,2,2,0,10,4,1,4,1,15,8,0,4,6
70,2,6,1,16,4,9,1,5,5,0,2,0,12,1,1,3,9
71,7,15,3,148,4,1,2,3,13,1,12,0,14,9,1,2,5
72,6,2,0,0,1,1,0,1,2,0,0,1,6,2,0,0,0
73,2,0,0,9,1,0,1,12,1,0,1,0,9,1,1,0,0
74,8,1,1,1,3,5,0,9,0,0,1,0,4,2,0,2,0
75,2,7,2,15,1,0,0,9,7,1,3,0,11,0,1,1,0
76,10,1,0,1,2,0,0,1,0,0,0,0,1,1,2,0,0
77,19,2,0,0,1,0,0,1,4,0,1,0,3,2,2,0,0
78,2,3,0,4,1,0,0,3,2,3,0,1,1,0,1,0,1
79,5,1,0,0,1,0,2,2,1,0,0,0,1,0,0,0,0
